구간,사고발생수,평균 통행량,ocode,dcode,code_x,lon_x,lat_x,code_y,lon_y,lat_y,path,color,평균 사고발생비율
서울 - 신갈JC,46,100843,0,1,0,127.1033,37.36527,1,127.1036,37.29,"[[127.1033,37.36527],[127.1036,37.29]]",#ed1c24,
신갈JC - 수원신갈,28,118461,1,2,1,127.1036,37.29,2,127.1039,37.26697,"[[127.1036,37.29],[127.1039,37.26697]]",#ed1c24,
수원신갈 - 기흥,40,100892,2,3,2,127.1039,37.26697,3,127.1012,37.22241,"[[127.1039,37.26697],[127.1012,37.22241]]",#ed1c24,
기흥 - 기흥동탄,6,89126,3,4,3,127.1012,37.22241,4,127.0973,37.21651,"[[127.1012,37.22241],[127.0973,37.21651]]",#ed1c24,
기흥동탄 - 동탄JC,14,77385,4,5,4,127.0973,37.21651,5,127.096,37.17769,"[[127.0973,37.21651],[127.096,37.17769]]",#ed1c24,
동탄JC - 오산,31,96134,5,6,5,127.096,37.17769,6,127.0842,37.14345,"[[127.096,37.17769],[127.0842,37.14345]]",#ed1c24,
오산 - 안성JC,64,94941,6,7,6,127.0842,37.14345,7,127.1389,37.03594,"[[127.0842,37.14345],[127.1389,37.03594]]",#ed1c24,
안성JC - 안성IC,17,95719,7,8,7,127.1389,37.03594,8,127.154,36.99496,"[[127.1389,37.03594],[127.154,36.99496]]",#ed1c24,
안성IC - 북천안,22,80624,8,9,8,127.154,36.99496,9,127.1838,36.89833,"[[127.154,36.99496],[127.1838,36.89833]]",#ed1c24,
북천안 - 천안,26,86357,9,10,9,127.1838,36.89833,10,127.1687,36.82604,"[[127.1838,36.89833],[127.1687,36.82604]]",#ed1c24,
천안 - 천안JC,12,75600,10,11,10,127.1687,36.82604,11,127.1828,36.76859,"[[127.1687,36.82604],[127.1828,36.76859]]",#ed1c24,
천안JC - 목천,4,51922,11,12,11,127.1828,36.76859,12,127.218,36.75964,"[[127.1828,36.76859],[127.218,36.75964]]",#ed1c24,
목천 - 옥산JC,19,48065,12,13,12,127.218,36.75964,13,127.348914,36.713551,"[[127.218,36.75964],[127.348914,36.713551]]",#ed1c24,
옥산JC - 옥산IC,7,45953,13,14,13,127.348914,36.713551,14,127.373,36.65342,"[[127.348914,36.713551],[127.373,36.65342]]",#ed1c24,
옥산IC - 청주,8,47826,14,15,14,127.373,36.65342,15,127.3832,36.62682,"[[127.373,36.65342],[127.3832,36.62682]]",#ed1c24,
청주 - 남이JC,4,41075,15,16,15,127.3832,36.62682,16,127.4209,36.59734,"[[127.3832,36.62682],[127.4209,36.59734]]",#ed1c24,
남이JC - 청주JC,5,81028,16,17,16,127.4209,36.59734,17,127.4306,36.56472,"[[127.4209,36.59734],[127.4306,36.56472]]",#ed1c24,
청주JC - 남청주,4,62454,17,18,17,127.4306,36.56472,18,127.430318,36.533618,"[[127.4306,36.56472],[127.430318,36.533618]]",#ed1c24,
남청주 - 신탄진,12,58565,18,19,18,127.430318,36.533618,19,127.4198,36.44005,"[[127.430318,36.533618],[127.4198,36.44005]]",#ed1c24,
신탄진 - 회덕JC,7,55606,19,20,19,127.4198,36.44005,20,127.4192,36.40424,"[[127.4198,36.44005],[127.4192,36.40424]]",#ed1c24,
회덕JC - 대전,15,45929,20,21,20,127.4192,36.40424,21,127.4512,36.36326,"[[127.4192,36.40424],[127.4512,36.36326]]",#ed1c24,
대전 - 비룡JC,1,24997,21,22,21,127.4512,36.36326,22,127.4826,36.34518,"[[127.4512,36.36326],[127.4826,36.34518]]",#ed1c24,
비룡JC - 옥천,1,21201,22,23,22,127.4826,36.34518,23,127.558,36.31685,"[[127.4826,36.34518],[127.558,36.31685]]",#ed1c24,
옥천 - 금강,6,15757,23,24,23,127.558,36.31685,24,127.669,36.27929,"[[127.558,36.31685],[127.669,36.27929]]",#ed1c24,
금강 - 영동,4,14931,24,25,24,127.669,36.27929,25,127.8327,36.26968,"[[127.669,36.27929],[127.8327,36.26968]]",#ed1c24,
영동 - 황간,2,12194,25,26,25,127.8327,36.26968,26,127.9061,36.22193,"[[127.8327,36.26968],[127.9061,36.22193]]",#ed1c24,
황간 - 추풍령,3,14752,26,27,26,127.9061,36.22193,27,128.0019,36.1994,"[[127.9061,36.22193],[128.0019,36.1994]]",#ed1c24,
추풍령 - 김천,4,14424,27,28,27,128.0019,36.1994,28,128.0932,36.13394,"[[128.0019,36.1994],[128.0932,36.13394]]",#ed1c24,
김천 - 동김천,3,13557,28,29,28,128.0932,36.13394,29,128.176356,36.136095,"[[128.0932,36.13394],[128.176356,36.136095]]",#ed1c24,
동김천 - 김천JC,2,18435,29,30,29,128.176356,36.136095,30,128.2664,36.15954,"[[128.176356,36.136095],[128.2664,36.15954]]",#ed1c24,
김천JC - 구미,7,34707,30,31,30,128.2664,36.15954,31,128.3609,36.10895,"[[128.2664,36.15954],[128.3609,36.10895]]",#ed1c24,
구미 - 남구미,9,39336,31,32,31,128.3609,36.10895,32,128.3693,36.06988,"[[128.3609,36.10895],[128.3693,36.06988]]",#ed1c24,
남구미 - 왜관,19,46706,32,33,32,128.3693,36.06988,33,128.4323,35.9773,"[[128.3693,36.06988],[128.4323,35.9773]]",#ed1c24,
왜관 - 칠곡물류,5,50597,33,34,33,128.4323,35.9773,34,128.4551,35.95675,"[[128.4323,35.9773],[128.4551,35.95675]]",#ed1c24,
칠곡물류 - 금호JC,18,56768,34,35,34,128.4551,35.95675,35,128.525,35.89279,"[[128.4551,35.95675],[128.525,35.89279]]",#ed1c24,
금호JC - 북대구,26,75510,35,36,35,128.525,35.89279,36,128.5805,35.90891,"[[128.525,35.89279],[128.5805,35.90891]]",#ed1c24,
북대구 - 도동JC,21,70906,36,37,36,128.5805,35.90891,37,128.6626,35.91276,"[[128.5805,35.90891],[128.6626,35.91276]]",#ed1c24,
도동JC - 동대구JC,14,60832,37,38,37,128.6626,35.91276,38,128.6944,35.8858,"[[128.6626,35.91276],[128.6944,35.8858]]",#ed1c24,
동대구JC - 경산,3,38724,38,39,38,128.6944,35.8858,39,128.7871,35.877,"[[128.6944,35.8858],[128.7871,35.877]]",#ed1c24,
경산 - 영천,5,22522,39,40,39,128.7871,35.877,40,128.951456,35.922406,"[[128.7871,35.877],[128.951456,35.922406]]",#ed1c24,
영천 - 영천JC,0,0,40,41,40,128.951456,35.922406,41,129.005362,35.919393,"[[128.951456,35.922406],[129.005362,35.919393]]",#ed1c24,
영천JC - 건천,3,22094,41,42,41,129.005362,35.919393,42,129.0859,35.84283,"[[129.005362,35.919393],[129.0859,35.84283]]",#ed1c24,
건천 - 경주,6,26520,42,43,42,129.0859,35.84283,43,129.1847,35.808,"[[129.0859,35.84283],[129.1847,35.808]]",#ed1c24,
경주 - 활천,1,21637,43,44,43,129.1847,35.808,44,129.1907,35.71052,"[[129.1847,35.808],[129.1907,35.71052]]",#ed1c24,
활천 - 언양JC,9,24902,44,45,44,129.1907,35.71052,45,129.1304,35.56801,"[[129.1907,35.71052],[129.1304,35.56801]]",#ed1c24,
언양JC - 서울산,2,27652,45,46,45,129.1304,35.56801,46,129.123858,35.553454,"[[129.1304,35.56801],[129.123858,35.553454]]",#ed1c24,
서울산 - 서울주JC,8,34018,46,47,46,129.123858,35.553454,47,129.107188,35.513204,"[[129.123858,35.553454],[129.107188,35.513204]]",#ed1c24,
서울주JC - 통도사,3,36055,47,48,47,129.107188,35.513204,48,129.0957,35.50005,"[[129.107188,35.513204],[129.0957,35.50005]]",#ed1c24,
통도사 - 통도사휴게소,3,34714,48,49,48,129.0957,35.50005,49,129.0908,35.48889,"[[129.0957,35.50005],[129.0908,35.48889]]",#ed1c24,
통도사휴게소 - 양산,14,41850,49,50,49,129.0908,35.48889,50,129.0518,35.37817,"[[129.0908,35.48889],[129.0518,35.37817]]",#ed1c24,
양산 - 양산JC,14,52029,50,51,50,129.0518,35.37817,51,129.0399,35.33626,"[[129.0518,35.37817],[129.0399,35.33626]]",#ed1c24,
양산JC - 노포JC,8,35551,51,52,51,129.0399,35.33626,52,129.0995,35.288394,"[[129.0399,35.33626],[129.0995,35.288394]]",#ed1c24,
노포JC - 노포,0,0,52,53,52,129.0995,35.288394,53,129.1006,35.287,"[[129.0995,35.288394],[129.1006,35.287]]",#ed1c24,
노포 - 부산,2,29890,53,54,53,129.1006,35.287,54,129.1065,35.27906,"[[129.1006,35.287],[129.1065,35.27906]]",#ed1c24,
